timestamp,elapsed_s,bottle_psi,tank_psi,chamber_psi,loadcell_kg,gse_fill,gse_relief,gse_dump,rkt_ox,rkt_fuel,rkt_relief,rkt_dump,rkt_ign
2026-03-27 21:46:45.467,6.593,4959,2905,4732,0,1,0,0,0,0,0,1,1
2026-03-27 21:46:55.179,16.305,1181,-2,16,0,0,0,0,0,0,0,0,0
2026-03-27 21:46:55.242,16.369,1174,-2,16,0,0,0,0,0,0,0,0,0
2026-03-27 21:46:55.322,16.449,1165,-1,15,0,0,0,0,0,0,0,0,0
2026-03-27 21:46:55.434,16.561,1169,-4,17,0,0,0,0,0,0,0,0,0
2026-03-27 21:46:55.498,16.625,1164,-1,15,0,0,0,0,0,0,0,0,0
2026-03-27 21:46:55.562,16.689,1160,-1,15,0,0,0,0,0,0,0,0,0
2026-03-27 21:46:55.658,16.785,1164,-3,16,0,0,0,0,0,0,0,0,0
2026-03-27 21:46:55.707,16.834,1164,-1,15,0,0,0,0,0,0,0,0,0
2026-03-27 21:46:55.818,16.945,1162,-2,16,0,0,0,0,0,0,0,0,0
2026-03-27 21:46:55.898,17.025,1159,-4,15,0,0,0,0,0,0,0,0,0
2026-03-27 21:46:55.930,17.057,1163,-3,15,0,0,0,0,0,0,0,0,0
2026-03-27 21:46:55.946,17.072,1162,-3,16,0,0,0,0,0,0,0,0,0
2026-03-27 21:46:56.090,17.216,1158,-4,15,0,0,0,0,0,0,0,0,0
2026-03-27 21:46:56.202,17.328,1164,-4,16,0,0,0,0,0,0,0,0,0
2026-03-27 21:46:56.330,17.457,1163,-4,16,0,0,0,0,0,0,0,0,0
2026-03-27 21:46:56.410,17.536,1163,-3,15,0,0,0,0,0,0,0,0,0
2026-03-27 21:46:56.473,17.600,1164,-3,16,0,0,0,0,0,0,0,0,0
2026-03-27 21:46:56.522,17.648,1161,-4,15,0,0,0,0,0,0,0,0,0
2026-03-27 21:46:56.778,17.905,1166,-3,17,0,0,0,0,0,0,0,0,0
