timestamp,elapsed_s,bottle_psi,tank_psi,chamber_psi,loadcell_kg,gse_fill,gse_relief,gse_dump,rkt_ox,rkt_fuel,rkt_relief,rkt_dump,rkt_ign
2026-03-27 21:48:43.992,0.273,1142,-2,15,0,0,0,0,0,0,0,0,0
2026-03-27 21:48:44.009,0.290,1142,-5,15,0,0,0,0,0,0,0,0,0
2026-03-27 21:48:44.104,0.385,1142,-5,15,0,0,0,0,0,0,0,0,0
2026-03-27 21:48:44.105,0.386,1142,-4,15,0,0,0,0,0,0,0,0,0
2026-03-27 21:48:44.120,0.401,1142,-5,14,0,0,0,0,0,0,0,0,0
2026-03-27 21:48:44.123,0.404,1142,-5,15,0,0,0,0,0,0,0,0,0
2026-03-27 21:48:44.248,0.528,1143,-1,15,0,0,0,0,0,0,0,0,0
2026-03-27 21:48:44.249,0.530,1143,-2,16,0,0,0,0,0,0,0,0,0
2026-03-27 21:48:44.251,0.531,1142,-5,15,0,0,0,0,0,0,0,0,0
2026-03-27 21:48:44.344,0.625,1142,-5,15,0,0,0,0,0,0,0,0,0
2026-03-27 21:48:44.616,0.897,1142,-5,14,0,0,0,0,0,0,0,0,0
2026-03-27 21:48:44.775,1.056,1143,-4,15,0,0,0,0,0,0,0,0,0
2026-03-27 21:48:44.792,1.073,1144,-4,15,0,0,0,0,0,0,0,0,0
2026-03-27 21:48:44.872,1.153,1142,-5,15,0,0,0,0,0,0,0,0,0
2026-03-27 21:48:44.873,1.154,1142,-3,15,0,0,0,0,0,0,0,0,0
2026-03-27 21:48:44.984,1.265,1142,-5,15,0,0,0,0,0,0,0,0,0
2026-03-27 21:48:44.985,1.266,1143,-5,16,0,0,0,0,0,0,0,0,0
2026-03-27 21:48:44.987,1.268,1142,-5,14,0,0,0,0,0,0,0,0,0
2026-03-27 21:48:45.112,1.393,1142,-5,15,0,0,0,0,0,0,0,0,0
2026-03-27 21:48:45.191,1.472,1144,-2,15,0,0,0,0,0,0,0,0,0
2026-03-27 21:48:45.352,1.633,1144,-4,15,0,0,0,0,0,0,0,0,0
2026-03-27 21:48:45.368,1.649,1143,-5,15,0,0,0,0,0,0,0,0,0
2026-03-27 21:48:45.384,1.665,1143,-4,14,0,0,0,0,0,0,0,0,0
2026-03-27 21:48:45.688,1.969,1141,-5,15,0,0,0,0,0,0,0,0,0
2026-03-27 21:48:45.833,2.114,1142,-5,15,0,0,0,0,0,0,0,0,0
2026-03-27 21:48:45.896,2.177,1144,-5,15,0,0,0,0,0,0,0,0,0
2026-03-27 21:48:46.040,2.321,1144,-4,15,0,0,0,0,0,0,0,0,0
2026-03-27 21:48:46.042,2.323,1143,-5,15,0,0,0,0,0,0,0,0,0
2026-03-27 21:48:46.072,2.353,1143,-5,15,0,0,0,0,0,0,0,0,0
2026-03-27 21:48:46.183,2.464,1142,-5,15,0,0,0,0,0,0,0,0,0
2026-03-27 21:48:46.185,2.466,1142,-5,15,0,0,0,0,0,0,0,0,0
2026-03-27 21:48:46.312,2.593,1143,-2,15,0,0,0,0,0,0,0,0,0
2026-03-27 21:48:46.440,2.721,1143,-5,15,0,0,0,0,0,0,0,0,0
2026-03-27 21:48:46.488,2.769,1142,-5,14,0,0,0,0,0,0,0,0,0
2026-03-27 21:48:46.503,2.784,1144,-1,15,0,0,0,0,0,0,0,0,0
2026-03-27 21:48:46.599,2.880,1142,-5,15,0,0,0,0,0,0,0,0,0
2026-03-27 21:48:46.616,2.897,1142,-5,15,0,0,0,0,0,0,0,0,0
2026-03-27 21:48:46.712,2.992,1142,-2,15,0,0,0,0,0,0,0,0,0
2026-03-27 21:48:46.792,3.073,1143,-1,15,0,0,0,0,0,0,0,0,0
2026-03-27 21:48:46.904,3.185,1142,-3,15,0,0,0,0,0,0,0,0,0
2026-03-27 21:48:47.000,3.280,1143,-4,14,0,0,0,0,0,0,0,0,0
2026-03-27 21:48:47.016,3.297,1144,-4,15,0,0,0,0,0,0,0,0,0
2026-03-27 21:48:47.017,3.298,1143,-4,15,0,0,0,0,0,0,0,0,0
2026-03-27 21:48:47.128,3.409,1143,-4,15,0,0,0,0,0,0,0,0,0
2026-03-27 21:48:47.208,3.489,1142,-2,15,0,0,0,0,0,0,0,0,0
