timestamp,elapsed_s,bottle_psi,tank_psi,chamber_psi,loadcell_kg,gse_fill,gse_relief,gse_dump,rkt_ox,rkt_fuel,rkt_relief,rkt_dump,rkt_ign
2026-03-27 20:44:19.324,1.586,1165,-5,11,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:19.403,1.665,1159,-5,11,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:19.483,1.746,1156,-5,11,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:19.564,1.826,1155,-5,12,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:19.676,1.938,1154,-5,12,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:19.740,2.002,1152,-6,11,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:19.835,2.097,1152,-5,11,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:19.915,2.178,1153,-5,12,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:19.964,2.226,1152,-5,11,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:20.059,2.322,1151,-5,11,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:20.061,2.323,1151,-5,11,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:20.171,2.433,1152,-5,12,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:20.173,2.435,1152,-5,11,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:20.316,2.578,1152,-5,11,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:20.395,2.657,1151,-5,11,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:20.475,2.737,1152,-5,11,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:20.587,2.849,1152,-5,12,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:20.683,2.945,1153,-5,12,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:20.731,2.993,1154,-5,11,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:20.875,3.137,1152,-5,11,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:20.903,3.165,1153,-5,12,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:20.971,3.233,1152,-6,11,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:21.035,3.297,1153,-6,11,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:21.243,3.505,1153,-5,11,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:21.419,3.682,1153,-5,11,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:21.483,3.745,1154,-5,11,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:21.595,3.857,1154,-6,11,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:21.739,4.001,1154,-5,12,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:21.852,4.114,1153,-5,11,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:21.931,4.193,1152,-5,11,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:22.059,4.321,1154,-5,11,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:22.154,4.417,1154,-5,12,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:22.156,4.418,1152,-5,11,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:22.315,4.578,1153,-5,12,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:22.379,4.641,1154,-5,11,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:22.475,4.737,1154,-5,12,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:22.572,4.834,1153,-6,11,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:22.699,4.961,1153,-5,12,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:22.795,5.057,1153,-5,12,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:22.842,5.105,1153,-5,12,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:22.844,5.106,1151,-6,11,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:22.987,5.249,1152,-5,11,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:22.988,5.250,1154,-5,11,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:23.115,5.377,1153,-5,12,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:23.243,5.505,1152,-5,12,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:23.371,5.633,1152,-5,11,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:23.373,5.635,1153,-5,11,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:23.499,5.761,1153,-5,12,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:23.595,5.857,1153,-5,11,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:23.692,5.954,1153,-5,11,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:23.819,6.081,1154,-5,12,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:23.820,6.082,1154,-5,12,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:23.915,6.177,1154,-5,12,0,0,0,0,0,0,0,0,0
2026-03-27 20:44:23.979,6.241,1152,-5,12,0,0,0,0,0,0,0,0,0
