timestamp,elapsed_s,bottle_psi,tank_psi,chamber_psi,loadcell_lbs,gse_fill,gse_relief,gse_dump,rkt_ox,rkt_fuel,rkt_relief,rkt_dump,rkt_ign
52:12.1,0.114,0,-2,-2,-72.11,0,0,0,0,0,0,0,0
52:12.2,0.178,0,-2,-1,-67.42,0,0,0,0,0,0,0,0
52:12.3,0.242,0,-2,-1,-75.2,0,0,0,0,0,0,0,0
52:12.3,0.305,0,-2,-1,-71.13,0,0,0,0,0,0,0,0
52:12.4,0.418,0,-2,-1,-68.56,0,0,0,0,0,0,0,0
52:12.5,0.482,0,-2,-1,-65.99,0,0,0,0,0,0,0,0
52:12.6,0.61,0,-2,-1,-71.05,0,0,0,0,0,0,0,0
52:12.7,0.625,0,-2,-2,-73.43,0,0,0,0,0,0,0,0
52:12.8,0.722,0,-2,-2,-74.69,0,0,0,0,0,0,0,0
52:12.9,0.834,0,-2,-2,-67.48,0,0,0,0,0,0,0,0
52:12.9,0.898,0,-2,-1,-72.85,0,0,0,0,0,0,0,0
52:13.0,1.01,0,-2,-1,-74.62,0,0,0,0,0,0,0,0
52:13.1,1.074,0,-2,-1,-74.39,0,0,0,0,0,0,0,0
52:13.2,1.186,0,-2,-2,-70.35,0,0,0,0,0,0,0,0
52:13.3,1.282,0,-2,-1,-64.64,0,0,0,0,0,0,0,0
52:13.4,1.346,0,-2,-1,-74.19,0,0,0,0,0,0,0,0
52:13.4,1.41,0,-2,-2,-65.03,0,0,0,0,0,0,0,0
52:13.5,1.49,0,-2,-1,-83.08,0,0,0,0,0,0,0,0
52:13.6,1.586,0,-2,-1,-75.48,0,0,0,0,0,0,0,0
52:13.7,1.634,0,-2,-1,-69.16,0,0,0,0,0,0,0,0
52:13.8,1.729,0,-2,-1,-70.12,0,0,0,0,0,0,0,0
52:13.8,1.794,0,-2,-1,-72.01,0,0,0,0,0,0,0,0
52:13.9,1.858,0,-2,-1,-66.79,0,0,0,0,0,0,0,0
52:14.0,1.955,0,-2,-1,-75.17,0,0,0,0,0,0,0,0
52:14.1,2.033,0,-2,-1,-79.32,0,0,0,0,0,0,0,0
52:14.1,2.098,0,-2,-1,-73.44,0,0,0,0,0,0,0,0
52:14.2,2.162,0,-2,-1,-69.77,0,0,0,0,0,0,0,0
52:14.3,2.258,0,-2,-1,-75.54,0,0,0,0,0,0,0,0
52:14.4,2.338,0,-2,-2,-65.66,0,0,0,0,0,0,0,0
52:14.4,2.402,0,-2,-1,-77.62,0,0,0,0,0,0,0,0
52:14.5,2.497,0,-2,-1,-73.69,0,0,0,0,0,0,0,0
52:14.6,2.562,0,-2,-1,-62.34,0,0,0,0,0,0,0,0
52:14.7,2.658,0,-2,-1,-64.17,0,0,0,0,0,0,0,0
52:14.8,2.737,0,-2,-1,-68.2,0,0,0,0,0,0,0,0
52:14.9,2.85,0,-2,-1,-66.63,0,0,0,0,0,0,0,0
52:15.0,2.994,0,-2,-1,-72.69,0,0,0,0,0,0,0,0
52:15.1,3.09,0,-2,-1,-77.85,0,0,0,0,0,0,0,0
52:15.2,3.218,0,-2,-1,-72.76,0,0,0,0,0,0,0,0
52:15.3,3.249,0,-2,-2,-67.04,0,0,0,0,0,0,0,0
52:15.4,3.33,0,-2,-1,-76.31,0,0,0,0,0,0,0,0
52:15.5,3.442,0,-2,-1,-68.45,0,0,0,0,0,0,0,0
52:15.6,3.537,0,0,-1,-70.56,0,0,0,0,0,0,0,0
52:15.6,3.586,0,0,-2,-67.12,0,0,0,0,0,0,0,0
52:15.7,3.713,0,-2,-1,-68.81,0,0,0,0,0,0,0,0
52:15.8,3.762,0,-2,-1,-66.6,0,0,0,0,0,0,0,0
52:15.9,3.842,0,-2,-2,-65,0,0,0,0,0,0,0,0
52:15.9,3.906,0,-2,-2,-67.41,0,0,0,0,0,0,0,0
52:16.0,3.986,0,-2,-2,-64.94,0,0,0,0,0,0,0,0
52:16.1,4.113,0,-2,-1,-78.41,0,0,0,0,0,0,0,0
52:16.3,4.226,0,-2,-2,-70.83,0,0,0,0,0,0,0,0
52:16.3,4.306,0,-2,-1,-66.85,0,0,0,0,0,0,0,0
52:16.4,4.322,0,-2,-1,-69.84,0,0,0,0,0,0,0,0
52:16.5,4.434,0,-2,-1,-70.11,0,0,0,0,0,0,0,0
52:16.5,4.514,0,-2,-1,-67.37,0,0,0,0,0,0,0,0
52:16.7,4.642,0,-2,-1,-64.1,0,0,0,0,0,0,0,0
52:16.7,4.706,0,-2,-2,-73.24,0,0,0,0,0,0,0,0
52:16.8,4.786,0,-2,-1,-70.96,0,0,0,0,0,0,0,0
52:16.9,4.85,0,-2,-1,-69.25,0,0,0,0,0,0,0,0
52:17.0,4.946,0,-2,-1,-68.17,0,0,0,0,0,0,0,0
52:17.1,5.073,0,-2,-1,-68.65,0,0,0,0,0,0,0,0
52:17.2,5.121,0,-2,-1,-68.13,0,0,0,0,0,0,0,0
52:17.2,5.186,0,-2,-2,-66.16,0,0,0,0,0,0,0,0
52:17.3,5.282,0,-2,-2,-75.28,0,0,0,0,0,0,0,0
52:17.4,5.346,0,-2,-1,-73.02,0,0,0,0,0,0,0,0
52:17.4,5.394,0,-2,-1,-71.13,0,0,0,0,0,0,0,0
52:17.5,5.505,0,-2,-1,-64.57,0,0,0,0,0,0,0,0
52:17.6,5.602,0,-2,-1,-74.48,0,0,0,0,0,0,0,0
52:17.7,5.697,0,-2,-2,-61.15,0,0,0,0,0,0,0,0
52:17.8,5.746,0,-2,-1,-62.96,0,0,0,0,0,0,0,0
52:18.0,5.921,0,-2,-1,-73.82,0,0,0,0,0,0,0,0
52:18.0,5.969,0,-2,-1,-65.31,0,0,0,0,0,0,0,0
52:18.1,6.033,0,-2,-1,-67.69,0,0,0,0,0,0,0,0
52:18.1,6.098,0,-2,-1,-70.71,0,0,0,0,0,0,0,0
52:18.2,6.146,0,-2,-1,-73.37,0,0,0,0,0,0,0,0
52:18.2,6.209,0,-2,-1,-68.19,0,0,0,0,0,0,0,0
52:18.3,6.305,0,-2,-1,-76.92,0,0,0,0,0,0,0,0
52:18.5,6.466,0,-2,-1,-84.27,0,0,0,0,0,0,0,0
