timestamp,elapsed_s,bottle_psi,tank_psi,chamber_psi,loadcell_lbs,gse_fill,gse_relief,gse_dump,rkt_ox,rkt_fuel,rkt_relief,rkt_dump,rkt_ign
2026-04-02 20:40:53.128,5.297,1153,1152,1132,-4.37,0,0,0,0,0,0,0,0
2026-04-02 20:40:53.224,5.393,1153,1152,1132,-4.37,0,0,0,0,0,0,0,0
2026-04-02 20:40:53.304,5.473,1153,1152,1132,-4.37,0,0,0,0,0,0,0,0
2026-04-02 20:40:53.432,5.601,1174,1152,1132,-4.36,0,0,0,0,0,0,0,0
2026-04-02 20:40:53.624,5.793,1154,1151,1132,-4.37,0,0,0,0,0,0,0,0
2026-04-02 20:40:53.768,5.937,1154,1150,1133,-4.38,0,0,0,0,0,0,0,0
2026-04-02 20:40:53.864,6.033,1154,1150,1133,-4.36,0,0,0,0,0,0,0,0
2026-04-02 20:40:53.944,6.113,1153,1150,1133,-4.37,0,0,0,0,0,0,0,0
2026-04-02 20:40:54.120,6.289,1153,1150,1133,-4.35,0,0,0,0,0,0,0,0
2026-04-02 20:40:54.152,6.321,1153,1152,1132,-4.34,0,0,0,0,0,0,0,0
2026-04-02 20:40:54.152,6.321,1153,1152,1132,-4.34,0,0,0,0,0,0,0,0
2026-04-02 20:40:54.313,6.482,1153,1151,1133,-4.35,0,0,0,0,0,0,0,0
2026-04-02 20:40:54.313,6.482,1153,1152,1133,-4.35,0,0,0,0,0,0,0,0
2026-04-02 20:40:54.328,6.497,1153,1152,1132,-4.35,0,0,0,0,0,0,0,0
2026-04-02 20:40:54.360,6.529,1153,1152,1132,-4.35,0,0,0,0,0,0,0,0
2026-04-02 20:40:54.360,6.530,1153,1151,1133,-4.34,0,0,0,0,0,0,0,0
2026-04-02 20:40:54.408,6.577,1153,1151,1133,-4.35,0,0,0,0,0,0,0,0
