timestamp,elapsed_s,bottle_psi,tank_psi,chamber_psi,loadcell_lbs,gse_fill,gse_relief,gse_dump,rkt_ox,rkt_fuel,rkt_relief,rkt_dump,rkt_ign
2026-04-03 19:47:38.276,0.218,1161,1156,1138,-4.4,0,0,0,0,0,0,0,0
2026-04-03 19:47:38.276,0.218,1158,1156,1137,-4.43,0,0,0,0,0,0,0,0
2026-04-03 19:47:38.276,0.218,1159,1157,1139,-4.36,0,0,0,0,0,0,0,0
2026-04-03 19:47:38.277,0.218,1161,1157,1140,-4.48,0,0,0,0,0,0,0,0
2026-04-03 19:47:38.379,0.321,1162,1157,1139,-4.48,0,0,0,0,0,0,0,0
2026-04-03 19:47:38.427,0.369,1162,1159,1139,-4.41,0,0,0,0,0,0,0,0
2026-04-03 19:47:38.491,0.433,1161,1158,1140,-4.41,0,0,0,0,0,0,0,0
2026-04-03 19:47:38.619,0.561,1161,1157,1137,-4.42,0,0,0,0,0,0,0,0
2026-04-03 19:47:38.683,0.625,1161,1157,1139,-4.37,0,0,0,0,0,0,0,0
2026-04-03 19:47:38.747,0.689,1161,1157,1139,-4.35,0,0,0,0,0,0,0,0
2026-04-03 19:47:38.811,0.753,1162,1158,1139,-4.38,0,0,0,0,0,0,0,0
2026-04-03 19:47:38.907,0.849,1161,1157,1138,-4.46,0,0,0,0,0,0,0,0
2026-04-03 19:47:39.068,1.009,1160,1158,1138,-4.42,0,0,0,0,0,0,0,0
2026-04-03 19:47:39.115,1.057,1160,1157,1139,-4.56,0,0,0,0,0,0,0,0
2026-04-03 19:47:39.179,1.121,1160,1157,1137,-4.36,0,0,0,0,0,0,0,0
2026-04-03 19:47:39.259,1.201,1161,1158,1138,-4.37,0,0,0,0,0,0,0,0
2026-04-03 19:47:39.323,1.265,1162,1158,1137,-4.51,0,0,0,0,0,0,0,0
2026-04-03 19:47:39.467,1.409,1161,1157,1139,-4.44,0,0,0,0,0,0,0,0
2026-04-03 19:47:39.547,1.489,1160,1158,1138,-4.38,0,0,0,0,0,0,0,0
2026-04-03 19:47:39.643,1.585,1159,1158,1139,-4.45,0,0,0,0,0,0,0,0
